datetime,DO,PH,AMMONIA(mg/l),TEMP,NITRATE(PPM),TURBIDITY,feed_label,DO_stress,pH_dev,thermal_stress,NH3_toxic,CMSS,hour
2022-02-01 00:00:00,8.21866,5.656,0.022088,22.91168,29.172,29.9592,2,0.0,1.8440000000000003,0.0,5.624006322965429e-06,0.2766140600158074,0
2022-02-01 00:20:00,6.23826,5.858,0.071284,22.77,14.28,32.832,2,0.0,1.6420000000000003,0.0,2.8894553452849473e-05,0.24637223638363218,0
2022-02-01 00:40:00,6.33728,5.454,0.058232,22.73964,5.712,25.65,2,0.0,2.0460000000000003,0.0,9.313056634777823e-06,0.30692328264158697,0
2022-02-01 01:00:00,10.00102,5.353,0.018072,22.33484,21.114,21.1356,2,0.0,2.1470000000000002,0.0,2.2906100823638113e-06,0.3220557265252059,1
2022-02-01 01:20:00,11.09024,5.05,0.06024,22.14256,7.446,24.2136,2,0.0,2.45,0.0,3.8006472385197904e-06,0.3675095016180963,1
2022-02-01 01:40:00,6.04022,5.555,0.022088,22.1122,11.628,32.7294,2,0.0,1.9450000000000003,0.0,4.457267984122523e-06,0.2917611431699603,1
2022-02-01 02:00:00,7.12944,5.555,0.048192,22.09196,9.486,21.9564,2,0.0,1.9450000000000003,0.0,9.724948328994595e-06,0.2917743123708225,2
2022-02-01 02:20:00,9.60494,5.555,0.052208,21.84908,30.09,21.8538,2,0.0,1.9450000000000003,0.15091999999999928,1.0535360689744143e-05,0.3144143384017242,2
2022-02-01 02:40:00,9.4069,5.858,0.081324,21.76812,26.724,24.8292,2,0.0,1.6420000000000003,0.2318800000000003,3.296420886874376e-05,0.28116441052217195,2
2022-02-01 03:00:00,11.8824,5.05,0.007028,21.71752,23.052,31.4982,2,0.0,2.45,0.2824799999999996,4.434088444939756e-07,0.4098731085221112,3
2022-02-01 03:20:00,6.9314,6.06,0.07028,21.63656,14.892,24.9318,1,0.0,1.4400000000000004,0.36344000000000065,4.534730054018647e-05,0.27062936825135064,3
2022-02-01 03:40:00,11.28828,5.353,0.05522,21.52524,26.112,21.8538,2,0.0,2.1470000000000002,0.47475999999999985,6.999086362778312e-06,0.3932814977159069,3
2022-02-01 04:00:00,9.70396,5.151,0.04518,21.49488,26.01,29.0358,2,0.0,2.349,0.5051200000000016,3.5967615856486806e-06,0.42812699190396436,4
2022-02-01 04:20:00,9.30788,5.353,0.023092,21.42404,12.138,21.1356,2,0.0,2.1470000000000002,0.5759599999999985,2.9268906607982035e-06,0.40845131722665173,4
2022-02-01 04:40:00,6.53532,6.06,0.0502,21.39368,6.732,29.9592,1,0.0,1.4400000000000004,0.6063200000000002,3.239092895727605e-05,0.30702897732239326,4
2022-02-01 05:00:00,9.30788,5.656,0.044176,21.57584,0.918,30.4722,2,0.0,1.8440000000000003,0.42416000000000054,1.1248012645930858e-05,0.3402521200316149,5
2022-02-01 05:20:00,6.13924,5.858,0.089356,21.9604,19.38,27.8046,2,0.0,1.6420000000000003,0.03960000000000008,3.6219933201459196e-05,0.25233054983300374,5
2022-02-01 05:40:00,7.52552,5.959,0.006024,21.98064,0.408,25.9578,2,0.0,1.5410000000000004,0.019359999999998934,3.0807949904591694e-06,0.23406170198747606,5
2022-02-01 06:00:00,8.31768,6.06,0.021084,22.04136,6.426,32.832,1,0.0,1.4400000000000004,0.0,1.3604190162055941e-05,0.21603401047540519,6
2022-02-01 06:20:00,9.70396,5.858,0.036144,22.20328,26.214,20.007,2,0.0,1.6420000000000003,0.0,1.4650759497219451e-05,0.24633662689874308,6
2022-02-01 06:40:00,8.4167,5.252,0.039156,22.29436,5.508,24.7266,2,0.0,2.248,0.0,3.933278445050736e-06,0.33720983319611264,6
2022-02-01 07:00:00,6.13924,6.06,0.061244,22.40568,17.85,27.3942,1,0.0,1.4400000000000004,0.0,3.951693332787678e-05,0.21609879233331974,7
2022-02-01 08:00:00,10.3971,5.151,0.094376,23.69092,3.672,19.2888,2,0.0,2.349,0.0,7.513235312243911e-06,0.3523687830882806,8
2022-02-01 08:20:00,10.19906,5.555,0.06024,23.91356,13.362,23.8032,2,0.0,1.9450000000000003,0.0,1.2156185411243244e-05,0.2917803904635281,8
2022-02-01 08:40:00,9.30788,5.252,0.018072,23.92368,18.462,27.3942,2,0.0,2.248,0.0,1.8153592823311091e-06,0.3372045383982058,8
2022-02-01 09:00:00,8.71376,5.252,0.038152,24.09572,11.016,20.007,2,0.0,2.248,0.0,3.832425151587896e-06,0.33720958106287896,9
2022-02-01 09:20:00,7.22846,5.05,0.039156,24.1362,1.836,19.2888,2,0.0,2.45,0.0,2.470420705037864e-06,0.3675061760517626,9
